Student_ID,Gender,Province,School_Type,Parent_Expectation,Stream,Khmer,English,Math,Physics,Chemistry,Biology,History,Geography,Morality,Earth,Interest_Tech,Interest_Business,Interest_Health,Interest_Design,Interest_Law,Career_Goal,WorkPreference,Personality,Recommend_Major
S000803,Female,Kampot,Public,Banker,Science,C,C,B,D,B,E,F,,,,Very Strong Interest,Very Low Interest,Low Interest,Strong Interest,Moderate Interest,PublicSector,Field,Extrovert,Computer Science
S001224,Male,Tbong Khmum,Public,Lawyer,Science,C,A,D,E,B,B,B,,,,Moderate Interest,Very Low Interest,Very Strong Interest,Moderate Interest,Very Low Interest,Research,Field,Ambivert,Medicine
S001979,Male,Preah Sihanouk,Private,Police Officer,Social-Science,B,C,D,,,,A,C,A,B,Moderate Interest,Strong Interest,Moderate Interest,Very Low Interest,Strong Interest,Healthcare,Independent,Introvert,International Relations
S001906,Female,Pursat,Public,Doctor,Science,B,C,B,C,D,D,B,,,,Strong Interest,Moderate Interest,Strong Interest,Strong Interest,Low Interest,Healthcare,Independent,Ambivert,Fisheries Science
S001700,Male,Tbong Khmum,Private,Lawyer,Science,D,C,B,C,B,C,C,,,,Moderate Interest,Strong Interest,Very Low Interest,Low Interest,Strong Interest,Education,Field,Extrovert,English Literature
S001545,Male,Battambang,Public,Accountant,Social-Science,B,D,F,,,,A,B,C,B,Strong Interest,Strong Interest,Moderate Interest,Strong Interest,Strong Interest,Creative,Independent,Ambivert,Forestry
S001314,Female,Ratanakiri,Public,Engineer,Social-Science,A,C,E,,,,E,D,A,D,Moderate Interest,Very Strong Interest,Very Strong Interest,Strong Interest,Low Interest,Healthcare,Independent,Introvert,Khmer Literature
S000307,Male,Preah Sihanouk,Public,IT Specialist,Social-Science,A,B,D,,,,A,C,B,C,Very Low Interest,Moderate Interest,Moderate Interest,Very Low Interest,Strong Interest,Entrepreneur,Team,Ambivert,Medicine
S001667,Male,Kep,Public,Doctor,Science,A,A,C,A,E,E,C,,,,Very Low Interest,Moderate Interest,Low Interest,Low Interest,Very Strong Interest,PublicSector,Team,Extrovert,Public Health
S000863,Female,Kandal,Private,Government Officer,Science,C,B,D,A,D,B,B,,,,Strong Interest,Moderate Interest,Moderate Interest,Very Low Interest,Moderate Interest,Entrepreneur,Team,Extrovert,Environmental Health
S001567,Male,Preah Vihear,Public,Banker,Science,D,A,C,C,E,C,C,,,,Moderate Interest,Strong Interest,Very Strong Interest,Moderate Interest,Moderate Interest,PublicSector,Team,Introvert,Marketing
S000531,Male,Kampong Cham,Public,IT Specialist,Science,B,D,B,B,B,C,C,,,,Very Strong Interest,Moderate Interest,Low Interest,Low Interest,Moderate Interest,Education,Field,Introvert,Information Technology
S000655,Male,Prey Veng,Public,Lawyer,Social-Science,A,D,C,,,,E,D,B,E,Moderate Interest,Moderate Interest,Low Interest,Moderate Interest,Moderate Interest,Creative,Team,Extrovert,Nursing
S001260,Female,Preah Vihear,Public,Engineer,Science,A,B,B,B,C,C,F,,,,Very Strong Interest,Very Strong Interest,Very Low Interest,Moderate Interest,Strong Interest,Entrepreneur,Independent,Extrovert,Tourism and Hospitality Management
S000234,Female,Pursat,Public,IT Specialist,Social-Science,D,B,C,,,,F,D,C,B,Very Low Interest,Very Low Interest,Strong Interest,Moderate Interest,Moderate Interest,Healthcare,Team,Ambivert,Information Technology
S000121,Male,Kampong Cham,Private,Doctor,Social-Science,D,B,B,,,,D,D,C,B,Very Strong Interest,Low Interest,Moderate Interest,Strong Interest,Moderate Interest,Corporate,Team,Ambivert,Architecture
S001698,Female,Kampong Speu,Public,Engineer,Social-Science,D,C,B,,,,B,D,B,C,Very Low Interest,Moderate Interest,Very Strong Interest,Moderate Interest,Moderate Interest,Education,Independent,Ambivert,Medicine
S000950,Male,Ratanakiri,Private,Business Owner,Social-Science,D,B,B,,,,D,B,C,F,Strong Interest,Moderate Interest,Low Interest,Strong Interest,Moderate Interest,Creative,Field,Extrovert,English Literature
S000618,Female,Battambang,NGO,Accountant,Social-Science,C,C,B,,,,C,D,C,D,Moderate Interest,Very Strong Interest,Moderate Interest,Moderate Interest,Very Strong Interest,Research,Team,Extrovert,Computer Science
S001179,Male,Svay Rieng,Public,IT Specialist,Science,B,F,C,D,A,C,C,,,,Strong Interest,Low Interest,Strong Interest,Very Strong Interest,Moderate Interest,Entrepreneur,Field,Ambivert,Nursing
S000308,Female,Ratanakiri,Public,IT Specialist,Science,D,B,A,D,D,C,A,,,,Strong Interest,Very Strong Interest,Moderate Interest,Moderate Interest,Moderate Interest,PublicSector,Office,Extrovert,Accounting
S000136,Male,Prey Veng,NGO,IT Specialist,Social-Science,A,C,B,,,,E,B,A,C,Strong Interest,Moderate Interest,Very Strong Interest,Low Interest,Strong Interest,PublicSector,Field,Introvert,Entrepreneurship
S000555,Male,Stung Treng,NGO,Teacher,Social-Science,D,B,A,,,,C,B,C,A,Moderate Interest,Moderate Interest,Moderate Interest,Moderate Interest,Low Interest,Research,Office,Introvert,Psychology
S001674,Female,Kep,Private,Government Officer,Social-Science,D,E,D,,,,B,C,C,C,Very Strong Interest,Moderate Interest,Strong Interest,Very Low Interest,Moderate Interest,PublicSector,Office,Extrovert,Philosophy
S000584,Male,Siem Reap,Public,Government Officer,Social-Science,C,B,A,,,,C,C,D,B,Moderate Interest,Strong Interest,Low Interest,Very Low Interest,Low Interest,Research,Independent,Introvert,Human Resource Management
S001641,Male,Phnom Penh,Public,IT Specialist,Social-Science,D,B,C,,,,B,B,C,D,Low Interest,Moderate Interest,Strong Interest,Very Low Interest,Very Strong Interest,Healthcare,Team,Introvert,Architecture
S000671,Male,Ratanakiri,Public,Police Officer,Science,B,C,C,C,A,D,D,,,,Moderate Interest,Moderate Interest,Strong Interest,Very Strong Interest,Strong Interest,PublicSector,Field,Introvert,Psychology
S000835,Female,Kampot,Public,Engineer,Social-Science,C,A,A,,,,B,C,C,C,Strong Interest,Strong Interest,Low Interest,Strong Interest,Low Interest,Healthcare,Office,Introvert,Philosophy
S000110,Female,Pailin,Private,Lawyer,Social-Science,D,B,A,,,,C,A,B,E,Very Strong Interest,Low Interest,Very Low Interest,Moderate Interest,Very Strong Interest,Creative,Field,Introvert,Public Administration
S001165,Female,Svay Rieng,Public,Government Officer,Social-Science,A,D,A,,,,B,B,A,B,Strong Interest,Very Strong Interest,Strong Interest,Strong Interest,Moderate Interest,Corporate,Independent,Introvert,Law
S001960,Female,Ratanakiri,NGO,Accountant,Science,D,A,A,A,A,C,E,,,,Very Strong Interest,Moderate Interest,Moderate Interest,Moderate Interest,Strong Interest,PublicSector,Team,Extrovert,English Literature
S001465,Female,Kampong Speu,Public,Police Officer,Social-Science,C,A,B,,,,C,C,B,B,Low Interest,Moderate Interest,Low Interest,Moderate Interest,Moderate Interest,Education,Independent,Extrovert,Accounting
S001729,Male,Prey Veng,Public,Doctor,Social-Science,C,E,B,,,,D,C,C,C,Low Interest,Moderate Interest,Strong Interest,Strong Interest,Very Low Interest,Research,Office,Introvert,Pharmacy
S001243,Female,Koh Kong,Private,Doctor,Science,D,E,C,C,D,C,C,,,,Moderate Interest,Moderate Interest,Strong Interest,Moderate Interest,Low Interest,PublicSector,Team,Introvert,Khmer Literature
S000212,Female,Preah Sihanouk,Public,IT Specialist,Social-Science,C,C,B,,,,B,B,A,A,Moderate Interest,Moderate Interest,Strong Interest,Very Low Interest,Very Strong Interest,PublicSector,Field,Extrovert,Tourism and Hospitality Management
S001768,Male,Pailin,Public,Accountant,Science,D,D,D,A,E,D,E,,,,Very Strong Interest,Very Low Interest,Very Strong Interest,Very Low Interest,Strong Interest,PublicSector,Independent,Introvert,Graphic Design
S001121,Male,Mondulkiri,Public,Teacher,Social-Science,A,E,A,,,,C,D,C,A,Low Interest,Very Strong Interest,Very Strong Interest,Strong Interest,Moderate Interest,Education,Independent,Extrovert,History
S000680,Male,Koh Kong,Public,Business Owner,Social-Science,B,C,B,,,,C,B,C,E,Moderate Interest,Strong Interest,Strong Interest,Very Strong Interest,Very Low Interest,Research,Independent,Ambivert,Information Technology
S001951,Female,Kampong Cham,Public,Accountant,Science,B,C,C,E,D,D,A,,,,Moderate Interest,Very Strong Interest,Strong Interest,Moderate Interest,Strong Interest,Corporate,Office,Extrovert,Education
S001839,Male,Oddar Meanchey,Public,Banker,Social-Science,E,C,D,,,,B,A,A,A,Low Interest,Strong Interest,Moderate Interest,Strong Interest,Strong Interest,Healthcare,Office,Extrovert,Electronics and Telecommunications
S000412,Female,Svay Rieng,Private,Business Owner,Science,C,B,B,F,A,C,C,,,,Low Interest,Moderate Interest,Moderate Interest,Low Interest,Moderate Interest,PublicSector,Office,Ambivert,Accounting
S001325,Female,Siem Reap,Private,Accountant,Social-Science,C,D,D,,,,B,C,E,B,Moderate Interest,Very Strong Interest,Strong Interest,Very Low Interest,Moderate Interest,Healthcare,Office,Extrovert,Information Technology
S000783,Female,Svay Rieng,Public,Lawyer,Science,C,C,B,B,C,C,B,,,,Low Interest,Low Interest,Moderate Interest,Low Interest,Very Low Interest,PublicSector,Field,Ambivert,Tourism and Hospitality Management
S001346,Male,Prey Veng,Public,Police Officer,Social-Science,A,C,C,,,,B,D,C,B,Very Strong Interest,Moderate Interest,Low Interest,Very Low Interest,Strong Interest,Research,Office,Extrovert,Software Engineering
S000875,Female,Preah Vihear,Public,Lawyer,Science,E,B,F,B,D,C,F,,,,Moderate Interest,Moderate Interest,Strong Interest,Low Interest,Low Interest,Creative,Field,Extrovert,Real Estate Management
S001653,Male,Takeo,Public,Government Officer,Science,D,B,B,A,D,A,C,,,,Moderate Interest,Strong Interest,Very Strong Interest,Strong Interest,Moderate Interest,PublicSector,Team,Extrovert,English Literature
S001279,Male,Kampong Speu,Private,Lawyer,Social-Science,B,D,C,,,,C,E,C,B,Moderate Interest,Moderate Interest,Low Interest,Very Low Interest,Very Low Interest,Research,Field,Ambivert,Accounting
S000786,Female,Pailin,Private,Lawyer,Science,B,B,B,B,A,B,B,,,,Moderate Interest,Moderate Interest,Low Interest,Very Strong Interest,Strong Interest,Entrepreneur,Independent,Ambivert,Marketing
S001819,Female,Battambang,Public,Accountant,Science,E,B,A,C,B,B,B,,,,Moderate Interest,Moderate Interest,Very Low Interest,Very Strong Interest,Strong Interest,Healthcare,Field,Introvert,Media and Communication
S001199,Male,Kampot,Public,Government Officer,Science,C,A,B,D,A,A,C,,,,Strong Interest,Strong Interest,Strong Interest,Low Interest,Low Interest,Research,Field,Introvert,Information Technology
S000808,Female,Mondulkiri,Public,Banker,Science,E,A,F,D,B,A,A,,,,Low Interest,Low Interest,Strong Interest,Moderate Interest,Moderate Interest,Creative,Field,Ambivert,Public Health
S000713,Male,Preah Vihear,Public,Business Owner,Social-Science,B,B,B,,,,C,A,D,B,Moderate Interest,Strong Interest,Strong Interest,Strong Interest,Very Low Interest,Research,Independent,Introvert,Marketing
S001991,Female,Kandal,Public,Accountant,Social-Science,B,C,D,,,,C,A,A,D,Very Strong Interest,Low Interest,Very Low Interest,Moderate Interest,Moderate Interest,Corporate,Independent,Extrovert,Physical Education
S001660,Male,Siem Reap,Public,Doctor,Science,A,C,C,B,C,A,B,,,,Strong Interest,Very Strong Interest,Strong Interest,Very Strong Interest,Very Strong Interest,Research,Team,Extrovert,Computer Science
S001191,Male,Kampong Thom,Public,Government Officer,Social-Science,C,E,B,,,,B,B,C,D,Strong Interest,Very Strong Interest,Strong Interest,Very Strong Interest,Very Low Interest,Research,Independent,Introvert,Law
S001226,Female,Phnom Penh,Public,Accountant,Social-Science,A,B,C,,,,D,E,B,B,Moderate Interest,Very Low Interest,Moderate Interest,Moderate Interest,Strong Interest,PublicSector,Field,Ambivert,Philosophy
S000603,Male,Kampot,Public,Police Officer,Science,C,B,D,C,B,C,E,,,,Strong Interest,Very Strong Interest,Moderate Interest,Very Strong Interest,Moderate Interest,Education,Office,Ambivert,Law
S000271,Male,Battambang,Public,Banker,Social-Science,C,B,C,,,,C,C,A,C,Moderate Interest,Very Strong Interest,Very Strong Interest,Strong Interest,Low Interest,Corporate,Team,Extrovert,Civil Engineering
S001385,Female,Kampot,Public,Banker,Social-Science,F,B,D,,,,B,E,C,D,Very Low Interest,Moderate Interest,Moderate Interest,Strong Interest,Very Strong Interest,Entrepreneur,Independent,Introvert,Architecture
S000232,Female,Kratie,Public,Engineer,Social-Science,A,D,E,,,,D,B,C,B,Strong Interest,Very Strong Interest,Moderate Interest,Very Low Interest,Moderate Interest,Corporate,Independent,Introvert,Sociology
S000050,Female,Takeo,Public,IT Specialist,Science,C,B,B,B,A,B,F,,,,Moderate Interest,Very Strong Interest,Low Interest,Moderate Interest,Strong Interest,Education,Field,Introvert,International Relations
S000463,Female,Takeo,Public,Police Officer,Science,C,C,C,C,C,D,D,,,,Low Interest,Low Interest,Strong Interest,Very Strong Interest,Moderate Interest,PublicSector,Independent,Introvert,Early Childhood Education
S001106,Male,Kampot,Private,Banker,Social-Science,D,D,D,,,,D,C,D,B,Strong Interest,Strong Interest,Strong Interest,Moderate Interest,Very Low Interest,Healthcare,Team,Ambivert,Accounting
S000856,Male,Pailin,Public,Lawyer,Social-Science,C,D,B,,,,A,C,B,A,Strong Interest,Moderate Interest,Strong Interest,Moderate Interest,Very Strong Interest,PublicSector,Team,Ambivert,Medicine
S000694,Female,Pursat,Public,Teacher,Social-Science,B,B,C,,,,B,C,C,B,Moderate Interest,Very Low Interest,Very Low Interest,Low Interest,Very Low Interest,Creative,Independent,Introvert,Law
S001552,Female,Phnom Penh,Public,Engineer,Science,D,C,A,B,A,B,D,,,,Low Interest,Low Interest,Very Strong Interest,Strong Interest,Strong Interest,PublicSector,Team,Introvert,Information Technology
S001873,Male,Pailin,Public,Police Officer,Social-Science,B,E,D,,,,E,C,B,A,Low Interest,Strong Interest,Strong Interest,Low Interest,Very Low Interest,PublicSector,Team,Extrovert,Computer Science
S000527,Male,Ratanakiri,Public,Lawyer,Social-Science,C,B,A,,,,C,A,C,A,Low Interest,Strong Interest,Moderate Interest,Low Interest,Very Strong Interest,Healthcare,Office,Extrovert,Special Education
S000174,Female,Mondulkiri,Private,Business Owner,Social-Science,E,D,D,,,,C,D,A,C,Low Interest,Very Strong Interest,Very Low Interest,Strong Interest,Very Strong Interest,Corporate,Office,Ambivert,Economics
S000721,Male,Kampong Speu,Private,IT Specialist,Social-Science,D,C,C,,,,C,D,B,F,Strong Interest,Strong Interest,Strong Interest,Strong Interest,Low Interest,Entrepreneur,Field,Ambivert,Law
S000415,Male,Preah Vihear,Public,Government Officer,Social-Science,B,D,D,,,,C,F,C,D,Moderate Interest,Low Interest,Strong Interest,Moderate Interest,Moderate Interest,Corporate,Team,Extrovert,Human Resource Management
S000238,Male,Tbong Khmum,Public,Engineer,Science,B,C,E,A,A,C,B,,,,Low Interest,Strong Interest,Strong Interest,Strong Interest,Low Interest,PublicSector,Team,Ambivert,Public Administration
S001473,Male,Pailin,Public,Teacher,Social-Science,A,E,D,,,,A,C,A,B,Strong Interest,Very Strong Interest,Strong Interest,Low Interest,Moderate Interest,Education,Independent,Introvert,Dentistry
S001336,Male,Kratie,Public,Government Officer,Science,B,B,D,C,F,B,C,,,,Strong Interest,Moderate Interest,Low Interest,Moderate Interest,Strong Interest,Research,Team,Ambivert,English Literature
S001064,Male,Siem Reap,Public,Police Officer,Social-Science,C,C,B,,,,A,A,C,C,Moderate Interest,Low Interest,Moderate Interest,Strong Interest,Very Strong Interest,Research,Independent,Introvert,Finance and Banking
S000024,Female,Siem Reap,Public,IT Specialist,Social-Science,C,D,E,,,,D,B,C,D,Low Interest,Very Low Interest,Moderate Interest,Very Low Interest,Very Strong Interest,Creative,Field,Ambivert,Computer Science
S001767,Male,Pursat,Public,IT Specialist,Science,B,B,E,D,B,A,B,,,,Strong Interest,Moderate Interest,Low Interest,Moderate Interest,Strong Interest,PublicSector,Independent,Ambivert,Finance and Banking
S000064,Female,Takeo,Public,Business Owner,Science,C,C,D,B,D,D,C,,,,Moderate Interest,Low Interest,Low Interest,Moderate Interest,Moderate Interest,Research,Field,Ambivert,Software Engineering
S000290,Male,Mondulkiri,Private,Engineer,Science,C,C,D,C,C,D,D,,,,Very Low Interest,Low Interest,Very Low Interest,Strong Interest,Moderate Interest,Education,Field,Ambivert,Business Management
S000189,Male,Kampong Thom,Public,Banker,Social-Science,E,E,D,,,,D,C,E,E,Moderate Interest,Low Interest,Moderate Interest,Moderate Interest,Moderate Interest,PublicSector,Office,Extrovert,Animal Science
S000702,Female,Pursat,Public,Accountant,Social-Science,C,B,C,,,,B,E,D,F,Very Strong Interest,Moderate Interest,Very Strong Interest,Strong Interest,Very Strong Interest,PublicSector,Office,Ambivert,Animal Science
S001815,Male,Kep,Public,Teacher,Science,E,D,C,A,E,E,E,,,,Moderate Interest,Strong Interest,Moderate Interest,Moderate Interest,Very Low Interest,Creative,Field,Ambivert,Human Resource Management
S001138,Female,Preah Sihanouk,Private,Business Owner,Science,A,C,D,A,F,C,B,,,,Strong Interest,Moderate Interest,Strong Interest,Very Low Interest,Very Strong Interest,Corporate,Field,Extrovert,Food Science and Technology
S000355,Female,Mondulkiri,Public,Doctor,Social-Science,B,D,D,,,,C,E,C,B,Low Interest,Strong Interest,Strong Interest,Strong Interest,Low Interest,Entrepreneur,Field,Ambivert,Pharmacy
S000417,Female,Ratanakiri,Private,Government Officer,Science,E,E,E,C,D,C,E,,,,Moderate Interest,Moderate Interest,Very Low Interest,Moderate Interest,Very Strong Interest,Healthcare,Independent,Introvert,Finance and Banking
S001246,Male,Ratanakiri,Public,Government Officer,Social-Science,A,B,B,,,,E,C,C,B,Very Low Interest,Moderate Interest,Moderate Interest,Moderate Interest,Strong Interest,Healthcare,Office,Ambivert,Software Engineering
S000931,Female,Phnom Penh,Public,Police Officer,Science,D,D,B,B,A,E,C,,,,Very Strong Interest,Very Low Interest,Very Strong Interest,Moderate Interest,Strong Interest,PublicSector,Field,Introvert,Medicine
S000197,Male,Preah Sihanouk,Private,Banker,Social-Science,E,B,A,,,,D,D,D,E,Low Interest,Strong Interest,Strong Interest,Strong Interest,Strong Interest,Research,Office,Introvert,Public Health
S000580,Male,Kampot,Private,Lawyer,Science,A,C,D,B,D,A,C,,,,Strong Interest,Strong Interest,Strong Interest,Moderate Interest,Moderate Interest,PublicSector,Office,Ambivert,Accounting
S001135,Male,Kep,Public,Police Officer,Science,D,D,A,C,D,D,E,,,,Moderate Interest,Moderate Interest,Moderate Interest,Very Low Interest,Very Strong Interest,Healthcare,Independent,Introvert,Marketing
S001814,Male,Koh Kong,Private,Doctor,Social-Science,B,B,C,,,,E,C,F,C,Very Strong Interest,Moderate Interest,Low Interest,Strong Interest,Moderate Interest,PublicSector,Field,Extrovert,Economics
S001935,Female,Stung Treng,Public,Doctor,Science,A,C,C,C,C,E,B,,,,Moderate Interest,Strong Interest,Very Strong Interest,Moderate Interest,Strong Interest,Entrepreneur,Office,Introvert,English Literature
S000434,Female,Prey Veng,NGO,Banker,Science,C,A,C,B,C,E,E,,,,Moderate Interest,Low Interest,Strong Interest,Very Low Interest,Very Strong Interest,Healthcare,Office,Extrovert,Cybersecurity
S000101,Male,Siem Reap,Public,Accountant,Social-Science,B,D,B,,,,C,A,B,E,Strong Interest,Very Strong Interest,Very Low Interest,Very Low Interest,Moderate Interest,Research,Independent,Introvert,English Literature
S001655,Male,Prey Veng,Private,Doctor,Social-Science,A,C,D,,,,C,D,A,E,Low Interest,Very Strong Interest,Low Interest,Low Interest,Very Strong Interest,Corporate,Field,Introvert,English Literature
S000395,Male,Ratanakiri,Public,Business Owner,Science,A,C,C,C,B,A,C,,,,Low Interest,Very Strong Interest,Strong Interest,Very Strong Interest,Very Strong Interest,Education,Team,Ambivert,Entrepreneurship
S001939,Female,Pursat,Private,IT Specialist,Social-Science,B,C,A,,,,C,B,C,C,Strong Interest,Very Low Interest,Moderate Interest,Low Interest,Strong Interest,Corporate,Field,Introvert,Software Engineering
S000221,Male,Kandal,Private,Banker,Social-Science,B,C,D,,,,C,E,D,E,Moderate Interest,Moderate Interest,Strong Interest,Moderate Interest,Moderate Interest,Education,Independent,Introvert,English Literature
S001676,Male,Kampong Cham,Private,Engineer,Social-Science,C,C,A,,,,C,D,B,D,Moderate Interest,Very Strong Interest,Very Low Interest,Strong Interest,Moderate Interest,Corporate,Independent,Ambivert,Marketing
S001498,Female,Kandal,Private,Engineer,Social-Science,B,B,C,,,,D,F,D,C,Moderate Interest,Moderate Interest,Moderate Interest,Very Strong Interest,Very Strong Interest,Creative,Independent,Extrovert,Information Technology
S001785,Female,Koh Kong,Public,Banker,Social-Science,B,C,B,,,,B,B,C,B,Strong Interest,Very Low Interest,Moderate Interest,Strong Interest,Moderate Interest,Education,Office,Introvert,Early Childhood Education
S000345,Male,Kampong Speu,Public,Government Officer,Science,E,B,D,C,D,D,D,,,,Very Low Interest,Low Interest,Strong Interest,Moderate Interest,Moderate Interest,Education,Team,Extrovert,Dentistry
S001028,Male,Oddar Meanchey,NGO,Accountant,Science,E,D,D,C,B,B,C,,,,Strong Interest,Very Strong Interest,Low Interest,Strong Interest,Moderate Interest,Education,Office,Extrovert,Medicine
S000889,Male,Preah Sihanouk,Private,Engineer,Social-Science,A,B,D,,,,C,C,D,A,Moderate Interest,Very Strong Interest,Very Strong Interest,Low Interest,Very Strong Interest,Entrepreneur,Team,Introvert,English Literature
S001351,Male,Prey Veng,Private,Engineer,Social-Science,C,C,D,,,,E,D,D,C,Very Strong Interest,Low Interest,Moderate Interest,Moderate Interest,Strong Interest,Education,Office,Extrovert,Electrical Engineering
S000553,Male,Pailin,Public,Accountant,Social-Science,D,B,C,,,,C,C,D,D,Strong Interest,Very Low Interest,Strong Interest,Very Strong Interest,Moderate Interest,Research,Team,Extrovert,Architecture
S000744,Male,Kep,Public,IT Specialist,Social-Science,B,C,F,,,,B,B,D,B,Very Low Interest,Strong Interest,Moderate Interest,Very Low Interest,Low Interest,Entrepreneur,Independent,Ambivert,Accounting
S001542,Female,Svay Rieng,Private,Engineer,Science,D,C,C,B,C,C,D,,,,Moderate Interest,Moderate Interest,Low Interest,Strong Interest,Moderate Interest,Education,Independent,Extrovert,Architecture
S000539,Female,Kep,Public,Government Officer,Science,C,C,D,B,C,C,C,,,,Very Low Interest,Low Interest,Very Strong Interest,Low Interest,Very Low Interest,Healthcare,Independent,Ambivert,Business Management
S000907,Male,Battambang,Public,Engineer,Social-Science,C,C,C,,,,E,A,D,E,Low Interest,Very Strong Interest,Moderate Interest,Low Interest,Moderate Interest,Education,Team,Introvert,Logistics and Supply Chain Management
S001395,Female,Kratie,Public,Banker,Science,B,D,B,C,D,D,E,,,,Low Interest,Moderate Interest,Moderate Interest,Strong Interest,Very Low Interest,Corporate,Team,Extrovert,Economics
S000116,Female,Takeo,Public,Business Owner,Science,C,A,B,A,E,C,C,,,,Moderate Interest,Very Strong Interest,Moderate Interest,Moderate Interest,Moderate Interest,Entrepreneur,Team,Ambivert,Finance and Banking
S000830,Male,Phnom Penh,Public,Teacher,Social-Science,D,D,A,,,,D,A,B,A,Moderate Interest,Moderate Interest,Strong Interest,Very Strong Interest,Low Interest,Education,Independent,Ambivert,International Relations
S001938,Male,Pailin,Public,Lawyer,Science,C,D,D,C,C,C,C,,,,Moderate Interest,Strong Interest,Very Strong Interest,Moderate Interest,Moderate Interest,Creative,Office,Ambivert,Food Science and Technology
S000809,Male,Kandal,Public,Business Owner,Science,A,A,A,B,D,C,C,,,,Strong Interest,Low Interest,Strong Interest,Low Interest,Moderate Interest,Healthcare,Field,Introvert,Political Science
S001311,Female,Kampong Cham,Public,Doctor,Social-Science,B,B,A,,,,C,A,C,B,Very Strong Interest,Very Low Interest,Strong Interest,Low Interest,Strong Interest,Healthcare,Field,Extrovert,Forestry
S001005,Female,Tbong Khmum,Private,Banker,Social-Science,A,B,F,,,,E,C,B,C,Moderate Interest,Strong Interest,Very Strong Interest,Moderate Interest,Very Strong Interest,Entrepreneur,Office,Introvert,English Literature
S000306,Male,Kampong Speu,Public,Police Officer,Science,C,D,C,C,A,A,B,,,,Strong Interest,Low Interest,Low Interest,Very Low Interest,Strong Interest,PublicSector,Team,Ambivert,Education
S001101,Male,Kampong Speu,Public,Banker,Science,C,A,B,C,B,B,B,,,,Moderate Interest,Moderate Interest,Low Interest,Strong Interest,Moderate Interest,Corporate,Independent,Introvert,International Relations
S000480,Male,Stung Treng,Private,Banker,Social-Science,E,A,B,,,,E,B,B,C,Strong Interest,Moderate Interest,Low Interest,Low Interest,Strong Interest,Entrepreneur,Field,Introvert,Public Health
S001424,Female,Pursat,NGO,Doctor,Science,E,B,B,C,A,B,D,,,,Moderate Interest,Moderate Interest,Strong Interest,Low Interest,Very Strong Interest,PublicSector,Field,Introvert,Marketing
S001076,Male,Battambang,NGO,Police Officer,Science,B,A,D,B,B,B,B,,,,Moderate Interest,Very Low Interest,Low Interest,Very Low Interest,Moderate Interest,Creative,Field,Introvert,Pharmacy
S000571,Male,Kampong Thom,Public,Police Officer,Science,A,B,B,B,A,C,B,,,,Moderate Interest,Low Interest,Moderate Interest,Strong Interest,Very Strong Interest,Entrepreneur,Team,Ambivert,Business Management
S000619,Female,Oddar Meanchey,Public,Business Owner,Social-Science,C,B,C,,,,C,B,E,C,Strong Interest,Strong Interest,Moderate Interest,Low Interest,Low Interest,Creative,Office,Extrovert,Accounting
S001898,Female,Kampong Cham,Public,IT Specialist,Science,E,B,C,D,A,C,D,,,,Strong Interest,Moderate Interest,Moderate Interest,Moderate Interest,Strong Interest,Healthcare,Team,Ambivert,Fine Arts
S001266,Male,Kampong Speu,Private,Engineer,Social-Science,C,B,C,,,,D,C,B,B,Low Interest,Moderate Interest,Very Low Interest,Moderate Interest,Moderate Interest,Corporate,Independent,Extrovert,Environmental Science
S000079,Female,Pailin,Private,Accountant,Social-Science,B,B,C,,,,C,A,D,D,Moderate Interest,Very Strong Interest,Very Strong Interest,Very Strong Interest,Moderate Interest,Research,Office,Ambivert,Architecture
S001912,Male,Oddar Meanchey,Public,Government Officer,Science,B,D,C,C,B,B,D,,,,Low Interest,Strong Interest,Moderate Interest,Very Low Interest,Moderate Interest,Creative,Independent,Introvert,Economics
S000033,Female,Battambang,Private,Government Officer,Social-Science,C,B,B,,,,E,D,C,F,Strong Interest,Moderate Interest,Very Low Interest,Very Low Interest,Strong Interest,Healthcare,Independent,Introvert,Information Technology
S001538,Male,Stung Treng,Public,Doctor,Science,B,B,E,E,C,B,C,,,,Moderate Interest,Strong Interest,Moderate Interest,Moderate Interest,Moderate Interest,Healthcare,Field,Introvert,History
S001034,Male,Kandal,Private,Banker,Science,D,B,D,D,B,E,E,,,,Strong Interest,Very Strong Interest,Low Interest,Moderate Interest,Moderate Interest,Research,Independent,Extrovert,Real Estate Management
S001563,Male,Kep,Public,Accountant,Social-Science,E,F,B,,,,D,A,C,C,Moderate Interest,Low Interest,Moderate Interest,Very Strong Interest,Moderate Interest,Corporate,Team,Introvert,Computer Science
S000352,Female,Preah Sihanouk,Private,Banker,Science,A,B,B,B,C,E,C,,,,Strong Interest,Strong Interest,Strong Interest,Very Strong Interest,Very Low Interest,Entrepreneur,Team,Introvert,International Relations
S000164,Female,Kampong Thom,Public,Business Owner,Science,C,C,B,E,A,A,B,,,,Strong Interest,Moderate Interest,Very Strong Interest,Very Strong Interest,Strong Interest,Education,Field,Extrovert,Political Science
S000204,Male,Kampong Speu,Public,Lawyer,Social-Science,B,C,A,,,,A,D,B,A,Strong Interest,Moderate Interest,Moderate Interest,Strong Interest,Strong Interest,Creative,Office,Introvert,Information Technology
S001054,Female,Mondulkiri,NGO,Lawyer,Science,B,C,D,C,C,B,C,,,,Moderate Interest,Strong Interest,Very Strong Interest,Moderate Interest,Low Interest,PublicSector,Office,Ambivert,Architecture
